User,Email,Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount (EUR)
John Doe,john.doe@example.com,Acme,Development,,XYZ-138,Yes,2023-11-27,08:30:00,2023-11-27,09:30:00,01:00:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-8 (daily),Yes,2023-11-27,09:30:00,2023-11-27,10:00:00,00:30:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-70,Yes,2023-11-27,10:00:00,2023-11-27,11:30:00,01:30:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-138,Yes,2023-11-27,11:30:00,2023-11-27,14:00:00,02:30:00,,
John Doe,john.doe@example.com,Acme,Development,,ABC-7127 (resolving conflicts),Yes,2023-11-27,14:00:00,2023-11-27,17:00:00,03:00:00,,
John Doe,john.doe@example.com,Acme,Development,,ABC-7127 (fixing tests),Yes,2023-11-28,08:45:00,2023-11-28,11:45:00,03:00:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-138,Yes,2023-11-28,11:45:00,2023-11-28,15:15:00,03:30:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-138,Yes,2023-11-28,22:00:00,2023-11-28,23:30:00,01:30:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-138,Yes,2023-11-29,08:30:00,2023-11-29,11:30:00,03:00:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-138,Yes,2023-11-30,11:30:00,2023-11-30,16:00:00,04:30:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-140,Yes,2023-12-01,09:00:00,2023-12-01,16:00:00,07:00:00,,
John Doe,john.doe@example.com,Acme,Development,,XYZ-140,Yes,2023-12-01,16:45:00,2023-12-01,17:45:00,01:00:00,,
